"tweet_id","text","likes","retweets"
"tweet_id","text","likes","retweets"
"205673765181472769","barclays socialcommerce research report available online","0","4"
"208488852652949504","clearing milestone barclays us 1 trillion swaps cleared customers","0","0"
"208498008806010880","no not time fact bit charity gareth employers santander barclays bank helped donate 3k","0","0"
"208498864444026880","barclays australian dollar 120601 australian dollar 120601 utm","0","0"
"208529524806254592","weird subway stop got new name atlantic barclays center bummer pacific street","0","0"
"208593471173443586","barclays 1 year default risk 0 85 0 01 today barc l mco mhp","0","1"
"208630643184242688","proud sensation nyc brooklyn barclays center 10 26 27 12 check construction update","0","5"
"209164680856469504","got shit poppin october open barclays center brooklyn consider attending","0","0"
"209241109443002368","got spare ticket barclays atp world tour tennis 2012tweeps interested row dm details","0","0"
"209302891532525569","barclays","0","0"
"209563068412342273","think walked past us half sevenish sat barclays theatre say sat dawn huddled","0","0"
"209584527750860801","eur usd barclays expects ecb announce ltros held late june announced central bank meeting wednesday li","0","1"
"209605623812329475","tlh ishares barclays stock analysis money stock market","0","0"
"209628537316065280","barclays pestered weekend saying somebodys trying hack account go bank get money no hassle shitbank","0","0"
"209775602205589504","lmaooooo one guy going macdonalds drive barclays bicyle looooooooolllllllll lad","0","0"
"209938815157157890","mp collected ditch outside barclays eldi nethers story todays star hebu tafuta","0","0"
"209950114586951680","fiddling blog post barclays 1980 style stock market rally table","0","0"
"209969362243813376","dominga ratering liked nyse bcs 14 24 barclays capital cuts allscripts healthcare solutions equal weight mdrx","0","0"
"209976362549788672","quiet tina sort barclays","0","0"
"210136152940883970","crainsnewyork lehman loses appeal barclays ruling nyc","0","0"
"210145140763930625","barclays executives stand trial tax fraud italy","0","3"
"210205375750864898","rt barclays apple use wwdc extend ecosystem lead","0","0"
"210274019730132992","barclays absa buy edcon private label store cards gbp0 8 billion barclays plc barc ln said wednesd","0","0"
"210275080863879169","look brand new barclays features store packaged current account scheme worth","0","0"
"210319825719922688","funny martin kelly selected not rio ferdinand kelly played 1 5 matches barclays epl lol win euro","0","0"
"210320043806953472","rt interesting see tl regularly til 1 customers becoms megamillionaire","0","0"
"210329338380427264","someone take barclays bank please free hug jordy hugs","0","0"
"210345662645145601","barclays unit buy south african retail credit business 1 2 billion absa group south african subs","0","0"
"210355128606273538","0 no english manager ever won barclays premier league","11","137"
"210378852143349760","barclays unit buy south african retail credit business 1 2 billion","0","0"
"210387626639888385","barclays entitled 1 8bn related lehman bankruptcy us judge rules gt entitlement","0","0"
"210391493800763392","point maybe not vaz future portugal especially next year plays barclays","0","0"
"210453770805575680","iron springs jc flyer ipa tap barclays 3 4","0","0"
"210466324353253376","barclays spaces sport oh hello","0","0"
"210675896946917378","next season barclays premier league fixture list released monday 18th june","0","17"
"210681823494279168","barclays sees credit rating upgrade ph within 2012 via","0","5"
"210721694581657602","set stay touch folk leadership programme starts next week","1","0"
"210733393166598146","barclays premier league giants travel fir park 21st july fitting opponents stevie hammell testimonial match","3","33"
"210748403905347584","rt 8 atm barclays queensway one working useless lt lt c","0","0"
"210805123453165569","agz ishares barclays stock analysis best penny stocks buy","0","0"
"210823779742519296","barclays premier league trophy","0","1"
"210829714665902082","redundancies possibly coming barclays cash equities structured credit via","0","1"
"210990620767035392","yesterday top traded shares customers lloyds banking group lloy barclays barc rbs rbs tesco tsco aviva av","0","0"
"211032542835515392","barclays shares worth less 1952 chief exec bob diamond trousers luvly jub lee 27m","0","5"
"211074896921493504","top losers pre market today jun 8 barclays","0","0"
"211075672855162880","barclays downgrades netapp rising competition reuters share friends technology top stories n","0","0"
"211095046345330688","im overqaulified work barclays bank cool safe","0","0"
"211108581343379457","barclays downgrades netapp rising competition","0","0"
"211165118594154499","12 barclays premier league games won tackles 52 vincent kompany 51 31 games outstanding","27","571"
"211247190545408000","not tree growing bk anymore tourism barclays tallbuildings culture","0","0"
"211331395371548672","auto cli barclays","0","0"
"211341751099719681","barclays bank open today","0","0"
"211395530474004480","anatha note lucky catch glimpse urs truly today 1pm barclays sports club","0","0"
"211517878304911362","premiership sportsmail reporter steve bruce targeted return barclays premier league b ff fw","0","0"
"211725191754170369","osborne british taxpayers not stand behind ez banks uk banks r ez banks barclays etc took ecb ltro","4","12"
"211847013745176579","lool barclays advert dad looks far happy giving 200 daughter lost money","0","0"
"212103424127410177","premier league transfers summer 2012 transfers every barclays premier league side","0","0"
"212129571410149377","implemented sap portal barclays bank plc","0","0"
"212131274326937600","ordered new bank card 16 50 friday arrived morning barclays fast","0","0"
"212247594963959809","blud man see working barclays nahhhhhhh fam man not know endz booky lloyds4lyfe imonone","0","0"
"212273385701515264","barclays capital cuts netapp equalweight ntap daily political","0","0"
"212424921744289792","yeah early trains fail left barclays yet","0","0"
"212535630373208064","barclays premier league fixtures 2012 13 season announced next monday 18 june","0","4"
"212576264781955072","streetinsider barclays u software adjusting estimates slight downside adjustments uncertainty economics","0","0"
"212594510016950272","barclays manager raised complaint picked wrong guy mess ive cut teeth argueing npower bg","0","0"
"212612401152000000","fixtures 2012 13 barclays premier league season monday 9am coyw","0","2"
"212701716431372288","barclays new diy current accounts shake banking offers one bank account pi","0","0"
"212725066578935810","rt breaking bob diamond barclays ceo says expect greece stay euro watch live","1","24"
"212726145702039552","house bieber built place dwill wants no part barclays lmao j k","1","1"
"212739263828201473","barclays ceo greece stay euro via","0","0"
"212788965466583041","powell premier ambition nick powell not wait get first taste barclays premier league action","0","1"
"212794003702288384","football barclays premier league man united confirm powell signing","0","0"
"212852916900466690","yeah use barclays ltd business etc","0","0"
"212937952232353792","20 latest commodity prices fall worst recent memory barclays mineweb mineweblatest commodity prices f 20","0","0"
"213016691884560385","september 28 jay z concert barclays center website daily get tickets","0","0"
"213028196864634881","barclays bench seshh","0","0"
"213034815459557377","barclays healthcare investment banking banking","0","0"
"213037541752979457","jay z named director brooklyn barclays arena","0","0"
"213038628115451904","jay z named director brooklyn barclays arena hip hop hip hop news jay z","0","0"
