"entity_id"	"tweet_id"	"topic_priority"
"RL2013D01E001"	"204639473366073344"	"UNIMPORTANT"
"RL2013D01E001"	"207430942028079104"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208204757779759105"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208283774251831296"	"UNIMPORTANT"
"RL2013D01E001"	"208318509384609792"	"UNIMPORTANT"
"RL2013D01E001"	"208342777627549696"	"UNIMPORTANT"
"RL2013D01E001"	"208347487822557184"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208416559604039680"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208431663317925888"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208436344140214273"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208457873523621888"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208468799689732096"	"UNIMPORTANT"
"RL2013D01E001"	"208480107529117696"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208495907476471809"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208499745235279872"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208502781902983168"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208503142650871808"	"UNIMPORTANT"
"RL2013D01E001"	"208504019252031489"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208508767187382272"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208511350866051072"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208515494871973888"	"UNIMPORTANT"
"RL2013D01E001"	"208518871672557568"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208525930275160065"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208531567419723776"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208538328633585665"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208542233559957505"	"UNIMPORTANT"
"RL2013D01E001"	"208542824948441088"	"UNIMPORTANT"
"RL2013D01E001"	"208544804634771457"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208558549402533889"	"UNIMPORTANT"
"RL2013D01E001"	"208558852466147330"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208559006564884482"	"UNIMPORTANT"
"RL2013D01E001"	"208564568195219457"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208572382212927488"	"UNIMPORTANT"
"RL2013D01E001"	"208575515349614592"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208575952966516737"	"UNIMPORTANT"
"RL2013D01E001"	"208581139907100673"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208582549214216192"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208584965124931584"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208586282127990785"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208586726740983808"	"UNIMPORTANT"
"RL2013D01E001"	"208589938734796800"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208593542480789505"	"UNIMPORTANT"
"RL2013D01E001"	"208597074080563200"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208599968154517504"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208600920253145088"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208602136609701889"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208602479640846336"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208603076100235264"	"UNIMPORTANT"
"RL2013D01E001"	"208604305031315456"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208604422492786688"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208604611240669184"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208604820939079680"	"UNIMPORTANT"
"RL2013D01E001"	"208610701353291776"	"MILDLY_IMPORTANT"
"RL2013D01E001"	"208614065193496576"	"MILDLY_IMPORTANT"
