"tweet_id","text","author","language","likes","retweets","media","timestamp"
"203802118539317249","Ecoticia: Audi presentó su bicicleta electrónica. http://t.co/0XbVhRFH","EcoNewsRed","ES",0,2,"no url","2012-05-19 10:59:46"
"207609749112487936","New ad campaign? http://t.co/YYgaxRV3 RT @alexandrabrad: The 2013 #S5 is literally so sexy I want to die.","Audi","EN",12,42,"no url","2012-05-29 23:09:56"
"207697894701154304","Audi lanza al mercado otro carro arrechísimo que no puedes comprar --&gt; http://t.co/cf5EnSIa","ChiguireBipolar","ES",1,50,"no url","2012-05-30 05:00:11"
"208260745782235136","¿AMLO a 4? Ni que fuera un Audi.","DonMalverde","ES",4,4,"no url","2012-05-31 18:16:45"
"208324201592008706","What did the cowboy say as he walked into the German car showroom? ""Audi""","chhcalling","EN",3,23,"no url","2012-05-31 22:28:54"
"208393704665399296","Para mí este país de mierda está mal hasta que subo la ventanilla polarizada del Audi y pongo Pimpinela a todo trapo.","MirthaEstagrand","ES",1,14,"no url","2012-06-01 03:05:05"
"208411270603481088","Audi R8 GT http://t.co/DiqcX9m7 via @thefancy","T0nyBlack","ES",0,0,"no url","2012-06-01 04:14:53"
"208420045100040192","Contacto Audi A3: Diseño y tecnología: Diseño exterior Dicen que dentro de las características del buen diseño e... http://t.co/ItLNoDkc","NoticiasAuto1","ES",0,0,"no url","2012-06-01 04:49:45"
"208443738698170368","My Audi is in the garage :-(","Tomsargemodel","EN",0,0,"no url","2012-06-01 06:23:54"
"208449879146631168","Driving on the motorway is so much more fun when you have someone to play with ;) .. . Audi A6 is on it!! Haha #playtime","HairBySeaane","EN",0,0,"no url","2012-06-01 06:48:18"
"208481579721428992","Chevrolet replace Audi as one of Manchester United's 28 commercial partners. Arsenal only have 11 in total.","AAllenSport","EN",0,5,"no url","2012-06-01 08:54:16"
"208485581074870272","Woman always digs a man with fast cars. So why don't you come to Audi showroom at Pacific Place Ground level and... http://t.co/Z2SIJAei","pacificplace","EN",0,0,"no url","2012-06-01 09:10:10"
"208492266791247872","Audi ha confirmado lo que os contaba esta mañana: Gené sustituye a Bernhard en Le Mans #medallita","SanchezdeCastro","ES",0,1,"no url","2012-06-01 09:36:44"
"208493277639483392","Audi reports 10% growth in May sales in India: German luxury car maker Audi today reported a 10 per cent j... http://t.co/c1y2jvUB #News","amitnimade","EN",0,0,"no url","2012-06-01 09:40:45"
"208502781902983168","BMW Developing Handwriting Recognition, Gesture Controls: Audi may have been the first automaker to integrate a ... http://t.co/D7ihvOBf","BringBackJobs","EN",0,0,"no url","2012-06-01 10:18:31"
"208504384131301376","Audi R8-The Unique Combination of Looks and Performance: http://t.co/Flvg2VOw","autonewsalert","EN",0,0,"no url","2012-06-01 10:24:53"
"208506218380144640","On the road to Le Mans #RS5! Pre test is up Sunday! #wec #audi #quattro #etron #LM24 http://t.co/bisqjwWq","Andre_Lotterer","EN",3,8,"no url","2012-06-01 10:32:10"
"208550731207294976","Loving the brand spanking new #Audi A3 sparkling in the sunshine of Majorca http://t.co/TjwtdHxe","Dulcie_C","EN",0,1,"https://pbs.twimg.com/media/AuTryPvCQAAbRV6.jpg","2012-06-01 13:29:04"
"208565008634875904","3rd Circuit reverses certification of #classaction vs VW &amp; Audi over sunroof leaks, held plaintiffs lacked standing - http://t.co/DDmwnS43","adamsavett","EN",0,0,"no url","2012-06-01 14:25:47"
"208569442014199809","@Ozi_Anwar91 @f3nty look out for a 12 plate, candy red, cream leather interior audi TT. #iwish","chelseanewfield","EN",0,0,"no url","2012-06-01 14:43:24"
"208575641195520000","@EleanorTS dan runciman ? Audi a1 white with like rally stickers? X","JordyGoldd","EN",0,0,"no url","2012-06-01 15:08:02"
"208580447846932481","2011 Audi Q7 with @JLAudio 12w7 and @JLAudio 750/1hd http://t.co/NcMyNT7b","mblelectronics","EN",0,1,"https://pbs.twimg.com/media/AuUGz-1CIAA_-z6.jpg","2012-06-01 15:27:10"
"208588526072233986","@CauseAtsSays I HAD DANCE sorry :{ i waited outside audi aft tt awhile but i had to go home IM SORRY","Tig3rfilz","EN",0,0,"no url","2012-06-01 15:59:14"
"208591877316943872","@monthebiff66 its not actually about the money,lol its just that I loved Audi and was proud to say they were #MUFC spons. + I hate Chevrolet","Lorry07","EN",0,0,"no url","2012-06-01 16:12:33"
"208602371473944576","Clarksburg, WV 2008 Audi TT Used Coupe Parkersburg, WV Morgantown, WV Star Motor Co. for $32,990: Star Motor Co.... http://t.co/3bleFtIt","StarAudiVW","EN",0,0,"no url","2012-06-01 16:54:15"
"208604971929837568","@Audi I just joined the Audi family and I love it so far http://t.co/v1zJ3kya","BigGus28","EN",0,0,"https://pbs.twimg.com/media/AuUdHeKCIAE-e7Z.jpg","2012-06-01 17:04:36"
"208604987935309824","So in celebration of our record breaking sales, a totally gratuitous shot of 5 R8s: http://t.co/qp9Ky66k #WantAnR8","Audi","EN",13,40,"no url","2012-06-01 17:04:39"
"208614010671734784","Q: What did the cowboy say when he walked into a German car showroom?  A: ""Audi!"" The world: ""Groan!""","ColinEnglish","EN",0,0,"no url","2012-06-01 17:40:30"
"208618688725790720","Fresh from the Leipzig Motor Show and coming soon here, the #S8: http://t.co/D28wC6m9 #everythingslowerthananS8","Audi","EN",14,47,"no url","2012-06-01 17:59:05"
"208632935362985984","@VenomV12 :) Maybe one of these days! @Audi_MS_Blog #WantAnR8","jmdc88","EN",0,0,"no url","2012-06-01 18:55:42"
"208654229856976899","@skybluecola g-string! Secret underseat box in Audi A3. asking the guy to come back once he'd driven off and explaining was mortifying","loobylou_louise","EN",0,0,"no url","2012-06-01 20:20:19"
"208655715777249280","National Donut Day redux (couldn't resist)  http://t.co/LJQMbf3M","Audi","EN",19,59,"no url","2012-06-01 20:26:13"
"208656998106009600","#Audi #TT #RS #Plus #2013 #Red The #Car Of The #Day  http://t.co/7PKYY43W","arturozashm","EN",0,0,"no url","2012-06-01 20:31:19"
"208659648893562880","Ebay,Ending Soon! : 22” Matte Black Audi Q7 Wheels Rims: US $895.00 (0 Bid) End Date: Friday Jun-01-2012 13:58:3... http://t.co/rVNXQrBh","Bidfactor","EN",0,0,"no url","2012-06-01 20:41:51"
"208683795484909568","Auto Review of the Audi A4 2.0 Sedan - Yahoo! Voices - http://t.co/D4AIZO89 http://t.co/dFq8VDHr","wilywhet593","EN",0,0,"no url","2012-06-01 22:17:48"
"208686995738853376","Car and Driver News --&gt; Johan de Nysschen Resigns as President of Audi of America  http://t.co/eSJ46AVa","PorterAutoGroup","EN",0,1,"no url","2012-06-01 22:30:31"
"208688700949925888","Pullin up to prom in the 2012 audi! Fuck with me!","SeduceN_Destroy","EN",0,0,"no url","2012-06-01 22:37:18"
"208692158931271681","I hate being in the mini compared to the audi #firstworldproblems","DonnyBirdd","EN",0,0,"no url","2012-06-01 22:51:02"
"208699628990898177","@Glenmore_Audi No problem! Give me a call when you have a minute.","I_Am_Audi","EN",0,0,"no url","2012-06-01 23:20:43"
"208701956838002688","Used and New Cars: Audi launches A3 e-tron pilot project in U.S. http://t.co/Y4bBml9p","EuroDBgroup","EN",0,0,"no url","2012-06-01 23:29:58"
"208705354207473664","@Audi_Boss ok but nxt tym dnt pass by if u r nt goin to stay","mss_popular","EN",0,0,"no url","2012-06-01 23:43:28"
"208725313818083328","""Now you're just some Audi that I used to tow."" - Gotye, tow truck driver","prodigalsam","EN",79,140,"no url","2012-06-02 01:02:47"
"208736403029368832","¨¡Ya no damos más!¨ me grita una señora desde un Audi A1 en Ugarteche y Las Heras. Tiene razón, por este barrio es imposible estacionar.","rinconet","ES",11,22,"no url","2012-06-02 01:46:51"
"208811545629704192","Audi reports 10 percent growth in May sales: The German luxury car maker, Audi has reported a… http://t.co/TrusURdv","wheelsunplugged","EN",0,1,"no url","2012-06-02 06:45:26"
"208811990192361472","a few rounds of audi before heading out to airport!","Ernestongch","EN",0,0,"no url","2012-06-02 06:47:12"
"208813571457548288","@wheelsunplugged can we xpect the audi A5 cabriolet in india by 2020? wat wil b the approx price&gt;?","Ghose_S","EN",0,0,"no url","2012-06-02 06:53:29"
"208820026491412480","Daily #Audi Porsche Inter Auto is out! http://t.co/b7tbvBCA ▸ Top stories today via @PacificAudi @AudiFrance","PIA_romania","EN",0,0,"no url","2012-06-02 07:19:08"
"208839756510007296","Thats a problem of Audi of note; they don’t tend to stick to the “correct times” to update their cars relative to BMW &amp; MB.","NooHar","EN",0,0,"no url","2012-06-02 08:37:32"
"208844753943539712","@susanpenhaligon The theatre has brought Porker more pleasure over seven decades than anything else. She and all your audiences in yr debt.","Porker46","EN",0,2,"no url","2012-06-02 08:57:24"
"208851840304021504","Audi India sales up by 10% in May 2012 http://t.co/L2rSD0GM #News #Company","SMENewsCompany","EN",0,0,"no url","2012-06-02 09:25:33"
"208871427703705600","#newcarincentives New car finance - 1.0% financing on a new Audi S4 . Buy a new Audi S4 below invoice price and ... http://t.co/mLNjLcAG","LotProCars","EN",0,0,"no url","2012-06-02 10:43:23"
"208880759996555264","Albuquerque leads Rosberg Audi one-two in second DTM practice at Spielberg http://t.co/Q8xEynvG","TheLeadGusher","ES",0,0,"no url","2012-06-02 11:20:28"
"208908202602016768","Edoardo Mortara consigue la pole en el Red Bull Ring de Spielberg. Es la segunda de la temporada para Audi. Molina saldrá duodécimo. #DTM","audispain","ES",0,3,"no url","2012-06-02 13:09:31"
"208922585612816384","Pre-Owned Vehicle Arrival for sale!  #Audi Uptown Markham. Audi Audi Q7 2009 http://t.co/vDHQXq0V","AudiUptown","EN",0,0,"no url","2012-06-02 14:06:40"
"208932245103316992","@Glenmore_Audi sprinkled here for the last 30 mins looks like its letting up though","vulcantinman","EN",0,0,"no url","2012-06-02 14:45:03"
"208944458912382976","Audi patrocina a los equipos Real Madrid, FC Barcelona, AC Milan, el Bayern de Munich y ahora lo hará con el  Chelsea.","AUDIPatria","ES",0,0,"no url","2012-06-02 15:33:35"
"208947994689675264","Spotted: Audi SUV with Toni and Shelly as the front license plate. getting gas in west Hartford. @swisherelli","itschurboiconor","EN",0,0,"no url","2012-06-02 15:47:38"
"208976956396552192","Waiting for the recital to begin, our big stage debut!  @ Concord City Auditorium (Audi) http://t.co/5wjrvRIB","montepasto","EN",0,0,"no url","2012-06-02 17:42:43"
"208979275808903169","Day one is complete for the Audi Melges 20 fleet in Portoferraio — 24 teams strong. Nice work by Mirko de Falco... http://t.co/vvwPVpFf","MelgesPS","EN",0,0,"no url","2012-06-02 17:51:56"
"208988889166262273","@MCaroCantillo el audi TT es tuyo o de tu papa? No entendi ayer...","dkcamila","ES",0,0,"no url","2012-06-02 18:30:08"
"208990319432302592","My mother cant afford to buy mayonnaise for fucks sake but shes tryna buy an audi.  U dumb bitch.","connie_elenaa","EN",2,0,"no url","2012-06-02 18:35:49"
"208998515119099904","These are some of the loudest cars I've ever heard. Mustangs, Audi's, Vipers, Nissan's Vette's, Cadi's. All suped up.","_LifeOnMars","EN",0,0,"no url","2012-06-02 19:08:23"
"209004877853106178","La pole en el DTM ha sido para Audi. Mortara el más rápido en la Q4. ¿Será la primera victoria de Audi en DTM 2012?","atrlpz","ES",0,0,"no url","2012-06-02 19:33:40"
"209038956560515072","Audi A8 http://t.co/nF4uyIud via @thefancy","tehZacs","ES",0,0,"no url","2012-06-02 21:49:05"
"209065301013311488","Fotos: Audi e-bike, la bicicleta eléctrica con conexión a Internet - Modos de uso http://t.co/SsYWgB1U ////yo quiero una de esta","crystflo","ES",0,0,"no url","2012-06-02 23:33:46"
